source,title,description,publishedAt,url
GlobeNewswire,Centerra Gold Publishes 2024 Sustainability Report,"TORONTO, June 05, 2025 (GLOBE NEWSWIRE) -- Centerra Gold Inc. (“Centerra” or the “Company”) (TSX: CG) (NYSE: CGAU) announces that it has published its 2024 Sustainability Report, which outlines the Company’s performance on Environmental, Social and Governance…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094812/0/en/Centerra-Gold-Publishes-2024-Sustainability-Report.html
GlobeNewswire,220 Homes Protected Across B.C. through Community Housing Sector Acquisitions,"In communities across B.C., the Rental Protection Fund is preventing displacement and strengthening housing stability. In communities across B.C., the Rental Protection Fund is preventing displacement and strengthening housing stability.",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094807/0/en/220-Homes-Protected-Across-B-C-through-Community-Housing-Sector-Acquisitions.html
GlobeNewswire,Saputo Reports Fourth Quarter and Fiscal 2025 Results,"MONTRÉAL, June 05, 2025 (GLOBE NEWSWIRE) -- Saputo Inc. (TSX: SAP) (we, Saputo or the Company) reported today its financial results for the fourth quarter and fiscal year ended on March 31, 2025. All amounts in this news release are in millions of Canadian do…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094809/0/en/Saputo-Reports-Fourth-Quarter-and-Fiscal-2025-Results.html
New Zealand Herald,NZ investors hit record $128b in US shares and bonds - Stock Takes,Plus: Auckland Airport and Spark are back in favour with analysts at Morningstar.,2025-06-05T21:00:00Z,https://www.nzherald.co.nz/business/markets/stock-takes/nz-investors-hit-record-128b-in-us-shares-and-bonds-stock-takes/4R5QITIV6JGBTLJFEOZSLESQNM/
Thecurvyfashionista.com,No More Outfit Panics! These 4 Plus Size Boutiques Have You Covered,"Explore the power of plus size boutiques! Support small businesses that champion inclusive fashion and make a positive impact in the community.
This article, No More Outfit Panics! These 4 Plus Size Boutiques Have You Covered first appeared on The Curvy Fashi…",2025-06-05T21:00:00Z,https://thecurvyfashionista.com/plus-size-boutiques/
GlobeNewswire,Saputo Reports Fourth Quarter and Fiscal 2025 Results,"MONTRÉAL, June 05, 2025 (GLOBE NEWSWIRE) -- Saputo Inc. (TSX: SAP) (we, Saputo or the Company) reported today its financial results for the fourth quarter and fiscal year ended on March 31, 2025. All amounts in this news release are in millions of Canadian do…",2025-06-05T21:00:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094809/0/es/Saputo-Reports-Fourth-Quarter-and-Fiscal-2025-Results.html
KUT,Austin area hospital illegally delayed treatment for ectopic pregnancy,A federal agency found that Ascension Seton Williamson Hospital failed to give a pregnant woman prompt care for her emergency condition.,2025-06-05T20:59:24Z,https://www.kut.org/health/2025-06-05/round-rock-hospital-broke-law-by-delaying-treatment-for-ectopic-pregnancy-investigation-finds
Financial Post,"Volatility Slows IPOs But No Cause for Panic, NYSE’s Martin Says","The US tariff war has spurred a surge in trading volatility and delayed initial public offerings, but shouldn’t keep investors out of the market, said NYSE Group President Lynn Martin.",2025-06-05T20:59:12Z,https://financialpost.com/pmn/business-pmn/volatility-slows-ipos-but-no-cause-for-panic-nyses-martin-says
Financial Post,Transat shares leap after restructure of hefty pandemic debt,MONTREAL — Transat AT Inc. shares soared Thursday after the travel company announced major restructuring of pandemic-era debt in a deal that forgives hundreds of millions of dollars owed. Its stock price jumped 27 cents or 16 per cent to close at $1.92 on the…,2025-06-05T20:58:28Z,https://financialpost.com/pmn/transat-shares-leap-after-restructure-of-hefty-pandemic-debt
Pypi.org,traia-tools 0.1.21,Custom tools for Traia/CrewAI for Web3 and crypto trading strategies,2025-06-05T20:57:32Z,https://pypi.org/project/traia-tools/0.1.21/
Yahoo Entertainment,"Morgan Stanley Downgrades Coursera (COUR) to Equal Weight, Lifts PT to $11","On Thursday, Morgan Stanley downgraded Coursera Inc. (NYSE:COUR) to Equal Weight from Overweight, while slightly increasing its price target to $11 from $10....",2025-06-05T20:54:07Z,https://finance.yahoo.com/news/morgan-stanley-downgrades-coursera-cour-205407691.html
Financial Post,Bunker Hill Announces Closing of $31 Million Combined Equity Financings and Debt Settlements Along with its Major Capital Restructuring,"KELLOGG, Idaho and VANCOUVER, British Columbia, June 05, 2025 (GLOBE NEWSWIRE) — Bunker Hill Mining Corp. (“Bunker Hill” or the “Company”) (TSX-V: BNKR |OTCQB: BHLL) is pleased to announce that it has closed its previously announced brokered private placement…",2025-06-05T20:53:53Z,https://financialpost.com/globe-newswire/bunker-hill-announces-closing-of-31-million-combined-equity-financings-and-debt-settlements-along-with-its-major-capital-restructuring
Biztoc.com,Tesla stock plunges as Musk’s feud with Trump over GOP tax bill spooks investors,"By BERNARD CONDON, Associated Press
Shares of Elon Musk’s electric vehicle maker fell sharply Thursday as investors feared his dispute with President Donald Trump will hurt the company.
Tesla closed down more than 14% as a disagreement over the U.S. president…",2025-06-05T20:53:45Z,https://biztoc.com/x/29901de9c36504b1
Biztoc.com,Here's How Much You Would Have Made Owning Innospec Stock In The Last 20 Years,"Innospec (NASDAQ:IOSP) has outperformed the market over the past 20 years by 3.5% on an annualized basis producing an average annual return of 11.78%. Currently, Innospec has a market capitalization of $2.13 billion. 
Buying $100 In IOSP: If an ...
Full story…",2025-06-05T20:53:34Z,https://biztoc.com/x/a0e3ec67f2fc63af
Biztoc.com,MicroStrategy’s New Preferred Stock Sees Lackluster Demand. It Could Yield 11.75%,,2025-06-05T20:53:33Z,https://biztoc.com/x/28ec6b3de77a7bbe
Slashdot.org,'CRAZY': Trump and Musk feud erupts on social media - ABC News,'CRAZY': Trump and Musk feud erupts on social mediaABC News Tesla Shares Slide as Trump-Elon Musk Feud EscalatesThe New York Times Tesla stock price plunges as Trump suggests stripping Elon Musk's companies of federal contractsCBS News The real reasons Musk i…,2025-06-05T20:53:16Z,https://slashdot.org/firehose.pl?op=view&amp;id=177938832
Yahoo Entertainment,"Lululemon stock plunges as company's profit outlook misses forecasts on tariff, consumer worries",,2025-06-05T20:51:03Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_097875dd-b23c-4fe9-85b9-1070a4683118
Yahoo Entertainment,Lululemon stock plunges 20% as company's second quarter outlook misses Wall Street estimates,,2025-06-05T20:51:03Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_67779a08-658f-41b2-82f6-490e1c629d83
GlobeNewswire,Bunker Hill Announces Closing of $31 Million Combined Equity Financings and Debt Settlements Along with its Major Capital Restructuring,"KELLOGG, Idaho and VANCOUVER, British Columbia, June 05, 2025 (GLOBE NEWSWIRE) -- Bunker Hill Mining Corp. (“Bunker Hill” or the “Company”) (TSX-V: BNKR |OTCQB: BHLL) is pleased to announce that it has closed its previously announced brokered private placemen…",2025-06-05T20:51:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094804/0/en/Bunker-Hill-Announces-Closing-of-31-Million-Combined-Equity-Financings-and-Debt-Settlements-Along-with-its-Major-Capital-Restructuring.html
New York Magazine,This Clash With Trump Is Going to End Poorly for Elon Musk,"As the world’s richest man limps away from Washington, he will be, if nothing else, a cautionary tale.",2025-06-05T20:50:45Z,http://nymag.com/intelligencer/article/trump-elon-musk-fight-loser.html
The Denver Post,Tesla stock plunges as Musk’s feud with Trump over GOP tax bill spooks investors,Tesla closed down more than 14% as a disagreement over the U.S. president’s budget bill turned nasty.,2025-06-05T20:48:04Z,https://www.denverpost.com/2025/06/05/trump-musk-tesla-stock/
Boston Herald,Tesla stock plunges as Musk’s feud with Trump over GOP tax bill spooks investors,Tesla closed down more than 14% as a disagreement over the U.S. president’s budget bill turned nasty.,2025-06-05T20:48:04Z,https://www.bostonherald.com/2025/06/05/trump-musk-tesla-stock/
Erickimphotography.com,Eric Kim is melting the internet?,"  TL;DR — YES, THE INTERNET IS SIZZLING. Eric Kim’s four-digit, belt-free rack pulls have torched every strength feed, flooded #Hypelifting with fresh blood, and even forced strong-man forums to rewrite their leaderboards. If you scroll anywhere near liftin…",2025-06-05T20:44:29Z,https://erickimphotography.com/blog/2025/06/05/eric-kim-is-melting-the-internet/
CryptoSlate,"Uber eyes stablecoins for faster settlements, lower FX costs for global operations","Uber is exploring dollar-pegged stablecoins as a tool for transferring funds across its global network, CEO Dara Khosrowshahi said on June 5 at the Bloomberg Tech conference in San Francisco.  Khosrowshahi explained that blockchain-based tokens could settle p…",2025-06-05T20:43:26Z,https://cryptoslate.com/uber-eyes-stablecoins-for-faster-settlements-lower-fx-costs-for-global-operations/
Biztoc.com,Samsara Stock Slips Despite Better-Than-Expected Q1 Report,"Samsara, Inc. (NYSE:IOT) released its first-quarter results after Thursday's closing bell. Here's a look at the key figures from the quarter. 
The Details: Samsara reported quarterly adjusted earnings of 11 cents per share, beating the consensus estimate of s…",2025-06-05T20:42:54Z,https://biztoc.com/x/cfe38ab8aac16ea1
Biztoc.com,"Microsoft's stock hits fresh record, rallying despite drop in broader market","On a down day for the market, Microsoft reached a record high for the first time in 11 months.
Shares of the software giant rose 0.8% to close at $467.68. Microsoft has once again reclaimed the title of world's largest company by market cap, with a valuation …",2025-06-05T20:42:51Z,https://biztoc.com/x/5696b666682c2209
Biztoc.com,Lululemon Stock Plummets 21% in Late Trading on Cut Guidance,,2025-06-05T20:42:35Z,https://biztoc.com/x/6af664b63391835b
Biztoc.com,"‘Have a nice day, DJT!’— Raging feud between Trump-Musk tanks Tesla after Trump-Xi call calmed markets","Stock markets digested multiple major developments today including President Donald Trump’s announcement that he spoke with Chinese leader Xi Jinping on tariffs and trade. Meanwhile, Trump and his former confidant Tesla CEO Elon Musk continued to trade passiv…",2025-06-05T20:42:32Z,https://biztoc.com/x/3d0ab190900de4d2
Biztoc.com,"Broadcom Edges Above Quarterly Targets, But Stock Slips","Broadcom narrowly beat Wall Street's targets for its fiscal second quarter and with its guidance. But Broadcom stock fell in extended trading.
The post Broadcom Edges Above Quarterly Targets, But Stock Slips appeared first on Investor's Business Daily.",2025-06-05T20:42:26Z,https://biztoc.com/x/bdef03d5d3c81285
Biztoc.com,Samsara Earnings Beat. Revenue Guidance Underwhelms. Shares Fall,"Samsara stock fell after the company reported first-quarter earnings and revenue that topped Wall Street targets while July quarter revenue guidance edged by expectations.
The post Samsara Earnings Beat. Revenue Guidance Underwhelms. Shares Fall. appeared fir…",2025-06-05T20:42:14Z,https://biztoc.com/x/78b2af182e65ee97
Biztoc.com,DocuSign Stock Plummets After Q1 Earnings Report: Details,"DocuSign, Inc. (NASDAQ:DOCU) released its first-quarter results after Thursday's closing bell. Here's a look at the details in the report. 
The Details: DocuSign reported quarterly earnings of 90 cents per share, which beat the analyst consensus estimate of 8…",2025-06-05T20:42:13Z,https://biztoc.com/x/a09431e011033421
Raw Story,Tesla stocks close way down amid Musk and Trump's bitter battle,President Donald Trump threatened to pull federal contracts from tech billionaire Elon Musk — and the stock market immediately reflected spooked investors. Trump's threat on Truth Social came amid a vicious afternoon in which Musk complained of the president'…,2025-06-05T20:41:22Z,https://www.rawstory.com/musk-tesla-trump/
Forbes,U.K. Fintech Wise Looks To U.S. Market To Fuel Its Global Ambitions,London’s beleaguered stock market is losing its grip on a “fabulous” fintech listing and others may follow.,2025-06-05T20:40:28Z,https://www.forbes.com/sites/robertolsen-1/2025/06/05/uk-fintech-wise-looks-to-us-market-to-fuel-its-global-ambitions/
TheWrap,Elon Musk’s Net Worth Plunges Nearly $30 Billion Amid Trump Feud,"The world's richest man sees his net worth drop as Tesla's stock price takes a 14% hit on Thursday
The post Elon Musk’s Net Worth Plunges Nearly $30 Billion Amid Trump Feud appeared first on TheWrap.",2025-06-05T20:40:18Z,https://www.thewrap.com/elon-musk-net-worth-plunges-30-billion-trump-feud/
GlobeNewswire,IDT Corporation Reports Third Quarter 2025 Results,Gross Profit +15% Year-over-Year to $112 MM; Record Gross Profit Margin of 37.1%Income from Operations +133% to $27 MM; Adjusted EBITDA +57% to $32 MMGAAP EPS Increased to $0.86 from $0.22; Non-GAAP EPS Increased to $0.90 from $0.38,2025-06-05T20:40:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094800/0/en/IDT-Corporation-Reports-Third-Quarter-2025-Results.html
GlobeNewswire,"Toll Brothers, Inc. Prices $500,000,000 of Senior Notes","FORT WASHINGTON, Pa., June 05, 2025 (GLOBE NEWSWIRE) -- Toll Brothers, Inc. (the “Company
” or “we
”) (NYSE:TOL) (TollBrothers.com), announced today that it has priced an underwritten public offering (the ""Offering"") of $500,000,000 of 5.600% Senior Notes d…",2025-06-05T20:40:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094799/1924/en/Toll-Brothers-Inc-Prices-500-000-000-of-Senior-Notes.html
9to5google.com,"Google AI Mode can create charts to answer financial questions, Google Labs tests ‘Portraits’","At I/O 2025, Google previewed a number of upcoming features for AI Mode, and the ability to create interactive charts is now in testing.



 more…",2025-06-05T20:39:59Z,http://9to5google.com/2025/06/05/google-ai-mode-charts/
CoinDesk,OFAC Sanctions Philippines-Based Tech Company For Facilitating Pig Butchering Schemes,"According to OFAC, Funnull Technology Inc. provides computer infrastructure for “hundreds of thousands” of pig butchering websites.",2025-06-05T20:39:49Z,https://www.coindesk.com/policy/2025/06/05/ofac-sanctions-philippines-based-tech-company-for-facilitating-pig-butchering-schemes
GlobeNewswire,Life360 Announces Closing of Upsized $320 Million Offering of 0.00% Convertible Senior Notes,Life360 announced the closing of its previously announced private offering of 0.00% convertible senior notes due 2030 (the “Notes”).......,2025-06-05T20:38:00Z,https://www.globenewswire.com/news-release/2025/06/05/3094798/0/en/Life360-Announces-Closing-of-Upsized-320-Million-Offering-of-0-00-Convertible-Senior-Notes.html
Crypto Briefing,Trump–Musk feud escalates as Musk accuses Trump of appearing in Epstein files,"Trump threatens to cut Musks government contracts after backlash over $1.6T bill. Musk fires back with Epstein claim as Tesla sinks 20%.
The post Trump–Musk feud escalates as Musk accuses Trump of appearing in Epstein files appeared first on Crypto Briefing.",2025-06-05T20:37:52Z,https://cryptobriefing.com/trump-musk-contracts-epstein-allegation/
The Times of India,"Tesla stock, share price prediction: Experts sound red alert. Details here","Musk has slowly started to separate himself from the White House in recent weeks, stung in part by the wave of protests against Tesla.",2025-06-05T20:34:44Z,https://economictimes.indiatimes.com/news/international/us/tesla-stock-share-price-prediction-experts-sound-red-alert-details-here/articleshow/121659193.cms
Histalk2.com,News 6/6/25,Top News The Interlock ransomware group claims to have stolen ...,2025-06-05T20:34:39Z,https://histalk2.com/2025/06/05/news-6-6-25/
Newser,Tesla Tumbles 14.3%,"US stocks drifted lower on Thursday as financial markets locked in their final moves before a highly anticipated update coming Friday about the US job market. The S&P 500 fell 31.51 points, or 0.5%, to 5,939.30. The Dow Jones Industrial Average fell 108 point…",2025-06-05T20:34:00Z,https://www.newser.com/story/369817/tesla-tumbles-143.html
Commercial Observer,Political Action Committee for Landlords Backs Cuomo With $2.5M,"A new political action committee led by a former New York State Assembly member is putting its resources to work with plans to spend $2.5 million to help elect former Gov. Andrew Cuomo as New York City mayor, with the Democratic primary just weeks away. New Y…",2025-06-05T20:33:49Z,http://commercialobserver.com/2025/06/new-york-apartment-association-andrew-cuomo/
ZyCrypto,Shiba Inu 503% Moonshot: Massive Inverse Head & Shoulders Pattern Could Send SHIB to $0.000081,"Shiba Inu (SHIB) could be on the verge of a seismic rally, according to a new analysis from popular crypto analyst Javon Marks.",2025-06-05T20:33:40Z,https://zycrypto.com/shiba-inu-503-moonshot-massive-inverse-head-shoulders-pattern-could-send-shib-to-0-000081/
CBS News,Tesla plunges as Trump suggests stripping federal contracts from Musk,"""This has gone from a candlelight dinner bromance to a knife fight,"" one Wall Street analyst said of the feud between Musk and President Trump.",2025-06-05T20:33:12Z,https://www.cbsnews.com/news/elon-musk-trump-tesla-shares-down-truth-social-fallout/
CNBC,"Lululemon shares tumble 20% as it cuts full-year guidance, citing 'dynamic macroenvironment'","Lululemon beat Wall Street expectations for fiscal first-quarter earnings, but cut its full-year earnings guidance, citing a ""dynamic macroenvironment.""",2025-06-05T20:32:46Z,https://www.cnbc.com/2025/06/05/lululemon-lulu-earnings-q1-2025.html
Biztoc.com,"Circle Soars 167% After IPO, Closing at $83 in First Day of Trading","surged in its first day of trading on the New York Stock Exchange (NYSE), closing at $83 after coming public at $31.
The stock spiked to as high as $104 after the first trades crossed the board at $69.
For traders and analysts alike, though, the focus now shi…",2025-06-05T20:31:57Z,https://biztoc.com/x/6e1975b3ef91e2a5
Biztoc.com,Circle ends NYSE debut up 167% from IPO price,"Circle ends NYSE debut up 167% from IPO price
The stablecoin issuer’s successful first day of trading is likely to spur more crypto IPOs, industry watchers say
MacroEcon/Shutterstock modified by Blockworks
Circle shares surged during their first day trading o…",2025-06-05T20:31:49Z,https://biztoc.com/x/e76932f653f796c8
Biztoc.com,Trump Family Hits Magic Eden With Cease-and-Desist Over Crypto Wallet Plans: Bloomberg,"The family of U.S. President Donald Trump has allegedly sent a cease-and-desist letter to two entities behind a forthcoming — and already heavily disputed — Trump-branded crypto wallet, according to a Thursday report from Bloomberg.
Since the announcement of …",2025-06-05T20:31:44Z,https://biztoc.com/x/18f3c91c4ae0a771
Biztoc.com,"Data Storage, Security Firm Rubrik Pops On Earnings, Revenue Beat","Rubrik stock advanced after the data storage and security software firm reported a narrower-than-expected first quarter loss and revenue topped expectations. 
The post Data Storage, Security Firm Rubrik Pops On Earnings, Revenue Beat appeared first on Investo…",2025-06-05T20:31:36Z,https://biztoc.com/x/d16388a04d4111be
Biztoc.com,Bitcoin ATM Operator CoinFlip Explores Potential $1B Sale: Bloomberg,"CoinFlip, a Chicago-based operator of more than 5,500 cryptocurrency ATMs globally, is exploring a potential sale as merger and acquisition activity heats up across the digital asset sector, according to Bloomberg.
The company is working with an advisor to ga…",2025-06-05T20:31:31Z,https://biztoc.com/x/18aaaf562d55d073
Biztoc.com,Tesla shares sink as Musk and Trump ridicule each other,"Tesla's shares have fallen 16% since CEO Elon Musk began bashing President Donald Trump's spending bill on May 27, and the stock remains about 33% lower since Inauguration Day.",2025-06-05T20:31:30Z,https://biztoc.com/x/309297beffddd710
Biztoc.com,SoFi Technologies Stock Climbs As Company Touts Strong Growth At Investor Conference,"SoFi Technologies Inc (NASDAQ:SOFI) shares pushed higher in Thursday afternoon trading. The uptick follows an optimistic presentation where company executives laid out an ambitious path for growth and profitability.
What To Know: At the 45th Annual William Bl…",2025-06-05T20:31:22Z,https://biztoc.com/x/470334123f98d3e7
Fortune,"‘Have a nice day, DJT!’— Raging feud between Trump-Musk tanks Tesla after Trump-Xi call calmed markets",Several major developments sparked losses in stock markets today.,2025-06-05T20:31:12Z,https://fortune.com/2025/06/05/trump-musk-feud-tesla-xi-china-trade-stock-market-drop/
CNBC,Broadcom beats on earnings and revenue,Broadcom’s artificial intelligence business is at the center of the company’s recent boom.,2025-06-05T20:31:09Z,https://www.cnbc.com/2025/06/05/broadcom-avgo-earnings-report-q2-2025.html
newsBTC,Messari Flags XRP’s Silent Rise As A Treasury Favorite—Here’s Why,"Three publicly traded companies are moving to hold XRP as part of their cash stash, putting real money behind their crypto bets. Webus International wants to set aside $300 million in XRP. Related Reading: Bitcoin Reserve Gets Military Nod, Senator Predicts E…",2025-06-05T20:30:53Z,http://www.newsbtc.com/altcoin/messari-flags-xrps-silent-rise-as-a-treasury-favorite-heres-why/
WWD,PVH’s Weaker Profit Outlook Takes 18% Bite Out of Its Stock,"PVH Corp.’s shares dropped as the company cut its earnings guidance due to consumer weakness, tariff costs, and operational issues at Calvin Klein.",2025-06-05T20:29:51Z,http://wwd.com/business-news/financial/pvh-lowers-profit-guidance-stock-drops-1237899895/
Securityaffairs.com,New versions of Chaos RAT target Windows and Linux systems,"Acronis researchers reported that new Chaos RAT variants were employed in 2025 attacks against Linux and Windows systems. Acronis TRU researchers discovered new Chaos RAT variants targeting Linux and Windows in recent attacks. Originally seen in 2022, Chaos R…",2025-06-05T20:29:16Z,https://securityaffairs.com/178670/malware/new-versions-of-chaos-rat-target-windows-and-linux-systems.html
Slate Magazine,A Man Was Tortured for His Bitcoin. He’s Not the Only One.,"When you are your own bank, you risk being broken into like one.",2025-06-05T20:27:00Z,https://slate.com/technology/2025/06/crypto-news-wrench-attacks-nyc-kidnapping-crime-rise.html
Rolling Stone,Trump and His Team Tease Vengeance Against Elon as Feud Goes Nuclear,"The president is threatening to ""terminate"" Musk's federal contracts, while a senior appointee warns the administration could investigate his companies",2025-06-05T20:23:00Z,http://www.rollingstone.com/politics/politics-features/trump-threatens-vengeance-against-elon-musk-feud-1235356996/
Yahoo Entertainment,Millennials are the ‘biggest losers’ in US society - what you can do to build financial security,"It’s a dubious distinction to have, but there’s good reason for it.",2025-06-05T20:23:00Z,https://finance.yahoo.com/news/millennials-biggest-losers-us-society-202300864.html
Erickimphotography.com,Who are current Eric Kim mega fans what they saying,"️  “MEGA-FAN” ROLL-CALL — WHO’S WAVING THE ERIC-KIM FLAG (AND EXACTLY WHAT THEY’RE SHOUTING) Fan blocLoudest handles / sourcesWhat they’re saying right nowProofStrength-YouTube royaltyJoey Szatmary (@SzatStrength, 250 k YT)Quote-tweet of the 1 049-lb clip: …",2025-06-05T20:22:09Z,https://erickimphotography.com/blog/2025/06/05/who-are-current-eric-kim-mega-fans-what-they-saying/
Freerepublic.com,Coal Is the New Bridge Fuel,"Once again, the consensus of government and private weather forecasters is that this coming summer will witness above-average temperatures in most parts of the United States. Already, warnings have been sounded that America’s power grids will be under great s…",2025-06-05T20:21:47Z,https://freerepublic.com/focus/f-news/4321208/posts
NBC News,Tesla shares sink as Musk and Trump ridicule each other,"Tesla's shares have fallen 16% since CEO Elon Musk began bashing President Donald Trump's spending bill on May 27, and the stock remains about 33% lower since Inauguration Day.",2025-06-05T20:21:42Z,https://www.nbcnews.com/business/business-news/tesla-shares-sink-musk-trump-ridicule-rcna211244
CNBC,"Microsoft's stock hits fresh record, rallying despite drop in broader market",Microsoft shares climbed to a record high for the first time since July of last year.,2025-06-05T20:21:05Z,https://www.cnbc.com/2025/06/05/microsoft-stock-notches-new-record-as-ceo-touts-openai-relationship.html
Biztoc.com,Wall Street Shows Love for Kymera Stock After Biotech’s Promising Drug Trial,,2025-06-05T20:20:40Z,https://biztoc.com/x/f6844d8047c8df4e
CoinDesk,"Circle Soars 167% After IPO, Closing at $83 in First Day of Trading","The euphoric action harkens back to the 2021 Coinbase IPO, which didn't end well for those who piled in near the high.",2025-06-05T20:20:38Z,https://www.coindesk.com/markets/2025/06/05/circle-soars-167-after-ipo-closing-at-83-in-first-day-of-trading
Biztoc.com,Here's How Much You Would Have Made Owning Nucor Stock In The Last 5 Years,"Nucor (NYSE:NUE) has outperformed the market over the past 5 years by 8.75% on an annualized basis producing an average annual return of 21.83%. Currently, Nucor has a market capitalization of $27.38 billion. 
Buying $1000 In NUE: If an ...
Full story availab…",2025-06-05T20:20:29Z,https://biztoc.com/x/a5fa274b16fec4f7
Biztoc.com,Crypto Firm Circle’s Shares Soar in Stock Market Debut,,2025-06-05T20:20:16Z,https://biztoc.com/x/3b4227484786c66e
